"","mse_pre","mse_aft","mse_ratio"
"Mean",22.8972811065465,26.6804225565854,1.32658764477958
"SCM",29.5701929418129,37.2537137435076,1.39827609359964
"BSS-simplex",17.5824515441818,33.7328253203092,2.29218202731841
"MIO_SCM",16.5955252164628,31.5219791077741,2.29670014683438
"PDA",9.87253483063022,38.9041173166876,5.15591716551528
"LASSO",10.8443146871727,32.341493306708,4.75510759150738
"NET",10.7550024476929,31.1936613372062,4.49149825927268
"SCM0",27.1809797846137,35.5253323517368,1.46160122316772
"IFE0",15.5536096190378,34.7584517043706,2.57280565744329
"MIO0",15.0264597792504,35.8441074660731,3.18289523801085
"IFE",4.42490027209951,6.56806453465374,1.6553583155611
"semi1",0.484202491629463,2.40002231223329,5.79407045310998
"semi3",0.676820519582285,2.41618299130246,4.96904808751223
"Mygsynth",4.63895853239835,6.63672977989475,1.61136956696436
"gsynth_lsls",7.79131052288024,8.22875639193325,1.1444650220938
"gsynth_lslasso",6.06960395594666,6.64497246334728,1.17779987502454
"gsynth_simplex",3.47254787072452,4.96279419951346,1.59893978009486
"gsynth_mio",6.81223358770838,7.39072708973656,1.2740243262003
"Hsiaols",195.297787885575,189.252026543405,1.05486141224578
"Hsiaosimplex",58.3367518139968,64.4989494859447,1.25392277038455
"MC",77.1722845502264,104.583715909351,1.53151573616204
