"","mse_pre","mse_aft","mse_ratio"
"Mean",22.7082500698436,25.157898078519,1.21000447923008
"SCM",30.7291454401989,38.6821520314026,1.31536278237271
"BSS-simplex",19.1578487243112,31.580238064268,1.85062670937228
"MIO_SCM",18.3958965249581,29.8497542537472,1.84110482386986
"PDA",12.0376101115423,32.8431273380547,3.14780264900492
"LASSO",12.1530242259836,28.4381416408826,2.98375793443747
"NET",12.1243656332643,27.9445534878386,2.94212317911024
"SCM0",28.5973908189167,35.7737368223781,1.33024382984695
"IFE0",16.8703951784811,29.9885042904992,1.9604106653631
"MIO0",16.2712238280896,30.4551779998355,2.22006115461019
"IFE",4.46655249771998,5.85645213451089,1.42219756258278
"semi1",0.594475002276895,1.7563197799694,3.2089013252958
"semi3",0.666030744233621,1.7980301678291,3.04637239376602
"Mygsynth",4.64684743972119,5.99541434722139,1.39786241444014
"gsynth_lsls",7.80649418183236,8.18589351571587,1.11158260081955
"gsynth_lslasso",6.27395723619525,6.71975481076981,1.13143853255719
"gsynth_simplex",3.49777674641662,4.55111066619137,1.41399518747475
"gsynth_mio",6.95720057614675,7.32358056297996,1.16232440084132
"Hsiaols",188.194393092766,196.431286070642,1.10899917373256
"Hsiaosimplex",61.364010813169,68.2507517134568,1.23538379291681
"MC",78.501973384315,101.175272286741,1.44777497703737
