"","mse_pre","mse_aft","mse_ratio"
"Mean",21.6445330248254,29.1396991554336,1.55736687184447
"SCM",27.0188297856711,39.8337519239804,1.70584991073327
"BSS-simplex",15.5014334082179,37.866035759395,3.09607093671379
"MIO_SCM",14.3664187866305,34.2482907710463,3.05627830696327
"PDA",5.14248529015148,59.7667388138172,18.9795294300108
"LASSO",8.04155634401485,44.9209054654423,48.1119322800152
"NET",7.95540189841575,41.3650996583313,37.1520978455336
"SCM0",25.4376387812778,38.0090313353245,1.73037012511833
"IFE0",13.094297403751,41.4051460257318,4.00611772040604
"MIO0",10.9574438305829,51.4675366484948,25.2288874514227
"IFE",4.0479307305529,7.12470934952096,2.14761235995411
"semi1",0.217034775195031,7.99713614397248,76.9664436487546
"semi3",1.0067566086898,4.50849426270439,30.3470066229915
"Mygsynth",4.26208651412492,7.18956308530605,2.02426613282744
"gsynth_lsls",7.48080503263103,8.45937158991768,1.26306548278861
"gsynth_lslasso",4.84539271170957,6.21894520905438,1.52975370478859
"gsynth_simplex",3.03893424253042,5.22757781978797,2.07000552428521
"gsynth_mio",5.64596295537123,7.32867254197076,1.93274360230298
"Hsiaols",198.581813050859,201.763588650981,1.12123854911317
"Hsiaosimplex",50.9367086592294,58.6072214022139,1.3655543024916
"MC",68.6315872667688,103.820219856613,1.79877324027783
