"","mse_pre","mse_aft","mse_ratio"
"Mean",23.3924833588146,27.8422199946732,1.30732034889617
"SCM",30.8415839082975,40.1909360015678,1.45531812473251
"BSS-simplex",20.7417848030447,35.4148401182651,2.00823120451355
"MIO_SCM",19.7742914361564,33.223490055659,1.986811935591
"PDA",12.7061246809896,35.7034893111943,3.4317302291754
"LASSO",13.1700032910314,31.6555261575817,3.21082632962663
"NET",12.9130086960976,30.8971397550616,3.13540696992783
"SCM0",29.7230485005498,39.4770868482154,1.46974703021658
"IFE0",16.5433192068546,34.967246632517,2.49318577301379
"MIO0",16.522590317399,34.6574820526307,2.56382746625135
"IFE",3.6725988467883,5.51579841597129,1.69147503031082
"semi1",0.979903268566427,2.52500305140709,2.9019552506808
"semi3",1.10935420055031,2.58483979432013,2.7570492649151
"Mygsynth",4.08719232643671,5.73868194274258,1.60307333663004
"gsynth_lsls",7.8711065635092,8.14456440291909,1.11805214875702
"gsynth_lslasso",6.76626662455675,7.14809242361788,1.13603561536762
"gsynth_simplex",3.78601021417636,4.89991450974093,1.44210955946236
"gsynth_mio",7.03801039721759,7.40353592388123,1.17791993590266
"Hsiaols",66.5272761617898,74.2022621439328,1.33031896496759
"hsiaosimplex",61.1003503680254,66.8665682207171,1.23914528453608
"MC",78.3262636395721,108.243459173295,1.5266261856822
