"","mse_pre","mse_aft","mse_ratio"
"Mean",23.6945518485322,26.5288908675825,1.20726045292183
"SCM",32.179647511583,39.7778963221898,1.30293345114865
"BSS-simplex",22.1296177428101,34.0224967752405,1.69939472099597
"MIO_SCM",21.3232479337391,32.1616328306633,1.67263620289273
"PDA",14.8582806654073,32.7544132063929,2.40355122372403
"LASSO",14.7563284964466,29.4425361920463,2.26990396115792
"NET",14.6403764516003,29.2495677255107,2.28358013051676
"SCM0",30.3339713291365,37.4957969020351,1.29711464881343
"IFE0",17.9161613688741,32.8906174391254,2.02882843096538
"MIO0",17.4916834291797,32.8396780020938,2.00558941663964
"IFE",3.73826712389234,5.09942178088224,1.46960774085883
"semi1",1.09850802119949,2.13478587888537,2.09240177088214
"semi3",1.17608480167176,2.18476885973908,2.04236033270344
"Mygsynth",4.13076521759348,5.44819911702405,1.44209696928607
"gsynth_lsls",7.89148355456443,8.36122471108304,1.12599885648869
"gsynth_lslasso",6.82316698049783,7.34757422053829,1.13778780533881
"gsynth_simplex",3.87646900523211,4.78532457428067,1.31992178304297
"gsynth_mio",6.85503843265588,7.40217450286424,1.16697770004291
"Hsiaols",66.5625635102516,73.2590700665439,1.31049803220427
"Hsiaosimplex",64.502717479357,68.8920184427624,1.19763453384436
"MC",81.2372390146835,105.675906595036,1.43066232085234
