"","mse_pre","mse_aft","mse_ratio"
"Mean",21.3845734104927,30.4396536694595,1.63563231459417
"SCM",27.2746215767916,41.1424159135483,1.75071818170055
"BSS-simplex",17.5050520185374,39.3765920709502,2.86008168399872
"MIO_SCM",16.5369406162434,36.4182949026868,2.83721229076485
"PDA",8.05830195028346,47.6318905944822,8.85429582853947
"LASSO",9.81881220085188,36.9150794168818,6.75473090995611
"NET",9.6192971829492,36.7701168890649,6.92967410278584
"SCM0",26.1127643202584,41.2587936195487,1.81924544877677
"IFE0",12.986794885568,40.4843950020737,4.20188937096953
"MIO0",12.3342576505374,42.4114496315658,5.52449293996618
"IFE",3.26827699753068,6.45435404586421,2.35898299290701
"semi1",0.697063372194046,3.90619732325726,7.31972578543957
"semi3",1.10950548161106,3.7327454019463,5.73922122267066
"Mygsynth",3.64797174741229,6.61529838391786,2.17566940406941
"gsynth_lsls",7.12715858236983,8.1882841800206,1.28335215509429
"gsynth_lslasso",5.92801326460618,7.13207724621105,1.32531263009174
"gsynth_simplex",3.19352205123889,5.23091460305364,1.88980661935543
"gsynth_mio",5.85927584039571,7.24583655101098,1.52418621319055
"Hsiaols",69.0653935875835,77.4492276253845,1.40212194522628
"hsiaosimplex",56.959702778714,64.5151465815211,1.36616780678399
"MC",72.7398694186417,109.183403991277,1.79221226005606
