"","mse_pre","mse_aft","mse_ratio"
"Mean",470.732535140657,647.00776913926,1.58037420588492
"SCM",1065.46820936072,1410.87290760945,1.49448945792099
"BSS-simplex",533.704749091124,689.180293171493,1.60151005540049
"MIO_SCM",531.665006337065,684.994683554524,1.61012835604048
"PDA",9.27386804153118,55.0355921368973,7.55019169977878
"LASSO",8.47114998466267,40.6144030786931,6.47676859583573
"NET",8.9089993646211,36.8518128612722,5.8272813760613
"SCM0",549.470828466755,694.092454334346,1.50575131110049
"IFE0",157.253749355187,408.988772582262,3.2649064808745
"MIO0",19.5160877161976,80.8196611490439,6.70194583609083
"IFE",165.399431959388,429.884563311828,3.3236917447627
"semi1",9.017371049034,68.8551891724721,9.41057266747632
"semi3",11.1369718406063,53.9854505778746,6.53705213480661
"Mygsynth",201.230679471453,390.37921012985,2.3499885123872
"gsynth_lsls",296.790155144271,424.600251651637,1.62426422656637
"gsynth_lslasso",272.438070372426,409.384133419845,1.701979770971
"gsynth_simplex",196.308728068676,396.422693767206,2.44027915784244
"gsynth_mio",286.065490129823,421.973039618159,1.73229451624028
"Hsiaols",487.577550751602,602.592629224977,3.43598469271056
"Hsiaosimplex",639.241856949714,731.828379288337,1.34290556594758
"MC",1350.31051042361,2103.10291503496,2.55875063396604
