"","X1","X2","X3"
"1",492.305245437493,600.166986351295,1.37056793170228
"2",1106.30067534684,1355.83923634127,1.33584752689128
"3",512.904468558444,605.086648153813,1.40913675257331
"4",511.083023382964,602.71591160392,1.4146447182969
"5",11.6276029019725,36.4708751234839,3.45896707470812
"6",10.3116395648413,27.3033984625969,3.04299867607361
"7",10.6098983534234,26.3691343011133,2.8987085201043
"8",526.94430551733,609.915661529135,1.32907674409079
"9",174.645112917954,351.599289686147,2.32381996313241
"10",17.6309957350079,45.9476063257164,3.20176642734906
"11",178.214082328629,355.16910251954,2.31377680669355
"12",12.8733434168289,41.3654917826989,3.72385549983221
"13",13.9067446934997,38.1952290823992,3.19353019544199
"14",207.25796599614,341.993579767049,1.89502336427519
"15",313.293617837919,391.807790236926,1.40633531085834
"16",294.564355812095,379.93483555414,1.44345815934042
"17",212.979162433834,347.037671577974,1.85008826212429
"18",310.724132923873,389.328722745373,1.42735421607096
"19",508.740206913232,424.226561681859,2.30689828810007
"20",670.241789411336,726.928583083652,1.18119274630974
"21",1381.97422827192,2050.50617402499,2.15868529242275
