"","mse_pre","mse_aft","mse_ratio"
"Mean",43.8606920531994,60.7588002897956,1.64096515941641
"SCM",54.699338896001,84.468960372054,1.70483793699555
"BSS-simplex",37.8838955807824,73.0556496645679,2.68635429656904
"MIO_SCM",36.5698727318442,69.5151139812433,2.6889084848988
"PDA",12.674635190716,63.3489419541675,7.14224623501377
"LASSO",14.4881139700272,50.0110103909026,5.62026660621294
"NET",14.4040984797193,48.1698890059207,5.37450704616149
"SCM0",46.111827348373,72.2549515899867,1.79564770080449
"IFE0",19.3267498940559,49.7675030365287,3.32247706735678
"MIO0",18.7382892319194,57.3800420341088,4.4005866990015
"IFE",4.15549298436641,7.71269478525788,2.30277857712093
"semi1",1.01451587622615,5.74523323863426,7.26094181886825
"semi3",1.6806118996905,5.29868585277348,5.4437017819905
"Mygsynth",4.56312530847168,7.92112974422213,2.14665595495033
"gsynth_lsls",8.37108501950659,9.5098366734671,1.26866120702961
"gsynth_lslasso",7.16990030010961,8.43782090660887,1.30838774228428
"gsynth_simplex",4.00157171671388,6.48072774874885,1.88342524436893
"gsynth_mio",7.13433797500563,8.61928399903595,1.50909592248498
"Hsiaols",172.667825176346,178.150642984306,1.30585549729025
"Hsiaosimplex",162.2878299928,163.862420015874,1.21971245642198
