"","mse_pre","mse_aft","mse_ratio"
"Mean",42.0723602069457,47.8006886496052,1.24849396635609
"SCM",44.6477970426686,53.6632043507709,1.33536194172372
"BSS-simplex",33.0216957031575,49.0192639001484,1.7583844580016
"MIO_SCM",31.9541742188491,45.7671007437624,1.70438822575503
"PDA",18.9243701515132,40.8075447146114,2.40652002265394
"LASSO",17.9292407820785,37.4893007077848,2.37126639152439
"NET",18.0856518259004,36.3032235174081,2.24677676304243
"SCM0",40.6695063209298,46.2186856443132,1.29716498138079
"IFE0",22.0273430031157,38.8562258055532,1.90057932417337
"MIO0",22.6576399945505,41.3542510885907,2.12765013965911
"IFE",4.2461671388698,5.55961859072096,1.36052550714047
"semi1",1.51211308373948,3.02666098780662,2.02466251836764
"semi3",1.63403972683733,3.01186273173673,1.91645622669173
"Mygsynth",4.79352202956814,6.16077015365711,1.32414484325368
"gsynth_lsls",8.42860641101292,8.63951524435391,1.07930519246141
"gsynth_lslasso",7.52894965749058,7.80812167225939,1.08916112800625
"gsynth_simplex",4.32924811547971,5.29242562540389,1.28210779572781
"gsynth_mio",7.75707861126511,7.98372658899179,1.0933496187076
"Hsiaols",128.158296228931,144.877397339983,1.32231151177322
"Hsiaosimplex",127.183907239235,136.017236367533,1.17681910087244
