"","mse_pre","mse_aft","mse_ratio"
"Mean",44.0243504944657,54.9061044255245,1.39300126680506
"SCM",56.3424853241984,79.1319167529181,1.48449239023172
"BSS-simplex",40.2034431122787,64.1454455043643,2.07163546141484
"MIO_SCM",38.6603498647774,61.2504523789344,2.0703570515453
"PDA",17.4168199086549,45.7468546048607,3.17282793558873
"LASSO",17.3738789259531,40.6818570834512,2.94709052460061
"NET",17.4373333054637,40.4561582315959,2.87131662167392
"SCM0",47.6435287195122,64.9711593916378,1.55698341882745
"IFE0",22.2344299825345,42.4469566557418,2.26157301214422
"MIO0",22.7354651488939,47.294561076058,2.51849787096139
"IFE",4.36058810901636,6.41742009917163,1.64267484217333
"semi1",1.36199334860994,3.58710955584375,2.92858651777282
"semi3",1.58383215540143,3.56422019762644,2.68288431728366
"Mygsynth",4.6925683318309,6.68425884274945,1.592558770129
"gsynth_lsls",8.69155275860692,9.24758504805497,1.15188185925231
"gsynth_lslasso",7.62584406391522,8.28658624146186,1.17094930890215
"gsynth_simplex",4.38719205839202,5.94037005616285,1.47645998307464
"gsynth_mio",8.06281519123955,8.65832866209183,1.17796511334235
"Hsiaols",170.40337173869,169.776176903205,1.23736842979645
"Hsiaosimplex",165.996595747455,163.293217709373,1.16537076934558
