"","mse_pre","mse_aft","mse_ratio"
"Mean",45.7726103933333,47.4782314063571,1.20774788451258
"SCM",45.4007203210807,53.3190006220617,1.27457531545922
"BSS-simplex",30.6623317560388,45.6095036423188,1.82873138976536
"MIO_SCM",29.1368345222977,42.2012799998981,1.8073502497191
"PDA",16.4055742072689,43.1993247460066,2.99471214968653
"LASSO",16.1281677799987,37.2659080859381,2.79740015390869
"NET",15.982067072292,36.593636808625,2.73159992307088
"SCM0",39.0645181238707,45.1779489479211,1.27973099403006
"IFE0",22.2453595391618,36.8538020601095,1.85714737300306
"MIO0",22.2634408575047,42.4192389924432,2.18868453153279
"IFE",5.11369344783896,6.86211511528061,1.4394947303314
"semi1",0.871006242256312,2.48480997358301,3.1531309733277
"semi3",1.00931428750131,2.55045346934087,2.94087495851199
"Mygsynth",5.30651658239664,7.00069390272199,1.40265986845564
"gsynth_lsls",8.76179257039976,9.2532364266699,1.09421784664934
"gsynth_lslasso",7.29872212967882,7.87062678454135,1.1121873339074
"gsynth_simplex",4.14861186160286,5.413922468165,1.38781758930341
"gsynth_mio",7.97762843470777,8.5769055523976,1.18070635004276
"Hsiaols",308.165552960176,300.589705760268,1.05586787878986
"hsiaosimplex",160.408565595975,156.819813145608,1.09763915003955
"MC",175.988035112332,205.24060022869,1.35464177454927
