"","mse_pre","mse_aft","mse_ratio"
"Mean",46.271854717456,55.7493567521342,1.36373322470511
"SCM",49.5978694550677,68.8292366261204,1.42720647365795
"BSS-simplex",34.222545928161,60.5985750039539,2.11549427556443
"MIO_SCM",32.4658858664349,57.4252452446288,2.12259682589431
"PDA",14.3212788339207,52.0523241615803,4.65017553617424
"LASSO",15.4227163384087,42.8217323545881,3.95895527648944
"NET",14.9779068996449,41.4565435800176,3.80400307994499
"SCM0",42.0059825446776,60.7680280515037,1.46791181607857
"IFE0",21.4471216813441,43.0563035656658,2.43226570986194
"MIO0",20.9902123854442,50.7464640663044,3.1477902696931
"IFE",4.87511321094358,7.22832658049805,1.61378349530426
"semi1",0.681280993095573,3.19780132094222,5.55008405304213
"semi3",1.01170471231645,3.21382927926921,4.58647040873838
"Mygsynth",5.13483522182022,7.42220840672007,1.57669450399168
"gsynth_lsls",8.77167284140358,9.28314762299321,1.13555636737768
"gsynth_lslasso",7.04002771922283,7.72057729088847,1.16792093234354
"gsynth_simplex",4.04359707336657,5.6504367473098,1.55115853158365
"gsynth_mio",7.62100809543694,8.30040405327782,1.23712976849405
"Hsiaols",322.885608922321,316.599489550809,1.07766405044447
"hsiaosimplex",167.792830194668,165.245544146862,1.15446469748086
"MC",188.471344812532,233.962080351682,1.40925181266702
