"","mse_pre","mse_aft","mse_ratio"
"Mean",99.4704833228972,143.43465328158,1.71426470193647
"SCM",33.9526427686193,48.5959858006855,1.65260665275714
"BSS-simplex",18.8051101121562,42.9747185554516,2.9965711553257
"MIO_SCM",17.5954249078962,40.2351071367652,3.02636802171457
"PDA",7.5935974990325,75.4782227352662,16.7842375472338
"LASSO",9.50520193790789,52.955304043403,20.4155271490937
"NET",9.85000573125521,50.9392365148248,20.2084387523092
"SCM0",31.7263583233688,48.427360068024,1.75734873364109
"IFE0",17.3115719454827,47.5612557518516,3.5883537508863
"MIO0",15.5412414208633,63.7892504675964,17.7070087349234
"IFE",4.06915928776945,7.01540905018984,2.16297207354002
"semi1",0.210336643286625,6.67938392329429,54.3475592721417
"semi3",0.888982383702278,4.26740740312733,23.0467159356558
"Mygsynth",4.2756829116226,7.15124412400197,2.02733797853887
"gsynth_lsls",7.34338404144981,8.30130039301579,1.26939954080826
"gsynth_lslasso",4.64658898465837,5.97420773980659,1.55421096811041
"gsynth_simplex",3.00019269137933,5.18700454758759,2.05519186394902
"gsynth_mio",5.55750789191341,7.31216157920624,1.93726101488254
"Hsiaols",286.761958985208,323.375678203877,1.27024125147904
"hsiaosimplex",137.20434227074,183.734802512993,1.57656131093078
"MC",162.11489577304,212.565813038805,1.61687305240701
