"","mse_pre","mse_aft","mse_ratio"
"Mean",109.897833300539,137.581722399769,1.32845996264903
"SCM",38.1935702049533,48.5638983471468,1.33699366170573
"BSS-simplex",24.3670399145851,41.4109648179803,1.86895678333237
"MIO_SCM",23.2737477926853,38.7290500498303,1.83418352752494
"PDA",16.4382307707371,44.2981709404327,3.10572165477651
"LASSO",15.5218772276459,39.2545743275454,2.92878097068681
"NET",15.7212986797644,38.3831610192048,2.87511721948697
"SCM0",36.7779285096726,48.3278186324745,1.38762672381676
"IFE0",21.7326603142914,40.5872804271821,2.02594949441415
"MIO0",21.6510195087046,46.9178766824858,2.54998377828675
"IFE",4.41311129423137,5.90136223404461,1.43858127721908
"semi1",0.607752511735233,1.77084339708471,3.14813935546346
"semi3",0.687541307630844,1.81277776920585,2.9901033502853
"Mygsynth",4.62940840353824,5.96555415359557,1.3879919285284
"gsynth_lsls",7.62907358487768,7.83741657005164,1.08469321176566
"gsynth_lslasso",6.16208833136633,6.47776336102158,1.10250068709054
"gsynth_simplex",3.38972114687658,4.34749038161184,1.35407848493926
"gsynth_mio",6.77552745910106,7.07034969762003,1.14636793451572
"Hsiaols",290.721690608104,315.638475930244,1.1531318113916
"hsiaosimplex",152.447060521877,177.555707656997,1.29324143770924
"MC",175.317291047812,206.778317535596,1.3317776458712
