"","mse_pre","mse_aft","mse_ratio"
"Mean",101.554501741787,138.870563261736,1.50605411364459
"SCM",35.846750283569,50.9534923222444,1.57419425143595
"BSS-simplex",21.7307629787971,44.5024317466289,2.43112032437373
"MIO_SCM",20.5674541708062,41.0187208894079,2.41279527798649
"PDA",13.1121649520603,53.8320030052986,5.25000984823295
"LASSO",12.9884783491373,43.9375585151997,4.80803199070917
"NET",13.2240494524957,43.1120506895294,4.61891831803684
"SCM0",34.1541233727622,47.9095929541917,1.59689986575758
"IFE0",19.4868835805418,44.4390939707875,2.61597023609772
"MIO0",19.8000815615385,52.2498057752806,3.61393161630794
"IFE",4.23428510580869,6.20686997094289,1.61567472208108
"semi1",0.479109478285683,2.36643656978341,5.74110613554302
"semi3",0.673428847596267,2.3947151704374,4.96796793775317
"Mygsynth",4.45784587717508,6.31563873807066,1.55444941227548
"gsynth_lsls",7.57103703550062,8.17995563609043,1.16355545583443
"gsynth_lslasso",5.90275677020014,6.62526450923633,1.19607028693262
"gsynth_simplex",3.29497395356625,4.63677521003753,1.56690934177217
"gsynth_mio",6.54346902798854,7.21529718937486,1.31476379717634
"Hsiaols",288.380192684102,313.50325378075,1.20213840299756
"hsiaosimplex",148.239982025997,177.785041671095,1.36573044283175
"MC",170.540412856574,213.933901906499,1.39577965820395
