"","mse_pre","mse_aft","mse_ratio"
"Mean",999.370944947265,1139.69854106073,1.25073512375351
"SCM",2539.49700708837,2989.08524360746,1.25042223299575
"BSS-simplex",1402.93606985487,1585.26979009373,1.26384480176409
"MIO_SCM",1400.75309453175,1582.90180294213,1.26370565454479
"PDA",21.6650431538068,76.5617371766369,3.63769331458337
"LASSO",10.2814330878629,29.1814347325619,3.2620996673802
"NET",10.6164181172077,28.247541791239,3.06771740715925
"SCM0",1421.95113346554,1592.53225683419,1.23207199363566
"IFE0",396.059448565343,686.302777640945,1.90071383648692
"MIO0",17.85606164809,56.2661494485911,3.58627824670812
"IFE",417.938261869464,717.351180578613,1.88184383839401
"semi1",12.5604756798216,43.7072194280368,3.80716630795336
"semi3",13.79348847192,38.9706857271618,3.21621494831748
"Mygsynth",463.999031949358,704.358640397815,1.68635774719403
"gsynth_lsls",743.550240015752,860.990732483374,1.26509046647672
"gsynth_lslasso",686.253471213616,824.880411099232,1.30769713277226
"gsynth_simplex",521.629616736208,778.347143355478,1.64079329737668
"gsynth_mio",740.403220915882,859.542606225233,1.27402079990785
"Hsiaols",999.815825066864,1211.06641351275,1.50770222709942
"Hsiaosimplex",914.678460915,1019.47038839258,1.22044705269835
"MC",2557.42106041204,3834.29599147317,2.46160706465305
