"","mse_pre","mse_aft","mse_ratio"
"Mean",755.251237335655,940.304975779802,1.07202159450664
"SCM",2006.52465033199,2434.63177167117,1.00698264485077
"BSS-simplex",1103.26001059701,1281.1861821854,1.022291394694
"MIO_SCM",1101.63319143587,1279.6268089969,1.01990419025934
"PDA",13.3388509992228,71.6770469528844,4.52900190823431
"LASSO",6.60170496889179,32.2554520776204,4.60584964765464
"NET",7.0096064356592,29.0884823720305,4.0203251669001
"SCM0",1117.36781093729,1286.40627692858,0.99619632343555
"IFE0",276.928560323928,581.985802579497,1.90029129660543
"MIO0",15.1542982805136,64.7306158818727,5.11403369856008
"IFE",294.105335427347,606.700107869655,1.8268683400119
"semi1",7.490330025939,50.6692210754189,6.16130134376569
"semi3",8.96165495594025,39.591246891978,4.40420877359361
"Mygsynth",347.294732624051,592.360407189511,1.50912209766527
"gsynth_lsls",557.976070327515,710.979842284454,1.09190667252357
"gsynth_lslasso",503.533634586452,674.441937236534,1.14300172461128
"gsynth_simplex",375.029295495338,621.837019715579,1.42667171301293
"gsynth_mio",551.779835734924,711.927193135636,1.12108458659384
"Hsiaols",800.037495250396,943.36471807926,1.19777236123012
"Hsiaosimplex",687.148419643016,798.09894981779,1.03021848058463
"MC",2096.91448684942,3131.25486170869,1.82201597063552
