"","mse_pre","mse_aft","mse_ratio"
"Mean",7.70346605085586,8.50222789470327,1.18397109943078
"SCM",7.76780776837735,8.3209949950161,1.13541906468124
"BSS-simplex",3.64006923118015,4.72729388338345,1.42680821758248
"MIO_SCM",3.50509538768319,4.57002319547365,1.43795900965161
"PDA",1.17410396215323,3.28010534945806,3.06961732002635
"LASSO",0.517524228276078,1.85563562831669,4.84939510804379
"NET",0.510354886540204,1.86256312584186,4.77819338499174
"SCM0",8.71944336330752,9.2929551714285,1.14664676685159
"IFE0",4.32318383863533,6.57306624385806,1.67723359942198
"MIO0",1.95903873190071,3.29846855913425,2.86594575568516
"IFE",4.34448397082355,6.57326313596436,1.6696090637902
"semi1",0.495140411089253,2.3097869555722,5.52908776526812
"semi3",0.687740432781039,2.40769992502792,4.70271626542609
"Mygsynth",4.52820234379591,6.65583179704934,1.6298967962695
"gsynth_lsls",7.59565430767891,8.51748249301993,1.19703024860163
"gsynth_lslasso",5.96615847459951,6.88556388532764,1.23074333081189
"gsynth_simplex",3.40355560985862,4.89927335048929,1.59053467907757
"gsynth_mio",6.57711952164291,7.53503739157513,1.31993168709668
"Hsiaols",27.0961918918707,31.3324810685806,1.32673225995798
"Hsiaosimplex",5.91497001980156,7.68455843760923,1.43761115054228
"MC",1.31046866105405,4.02905691391446,3.33176926790768
