"","mse_pre","mse_aft","mse_ratio"
"Mean",7.65206299813459,8.41981791876103,1.23159203439784
"SCM",8.03366367651954,8.15892021939609,1.13963253073709
"BSS-simplex",3.48848234240796,5.08792019076307,1.69984413125087
"MIO_SCM",3.30578386446632,4.80069191653128,1.70497237113287
"PDA",0.857767709477438,4.88058518168975,7.96563353394511
"LASSO",0.69515169079922,4.03457833439057,31.9707695139662
"NET",0.718170611647255,4.03178320734552,29.9117064935858
"SCM0",8.95935086366834,9.16975404024516,1.13897024091749
"IFE0",4.02407649624748,7.31895444599256,2.18251614143824
"MIO0",2.19311556944636,4.93485173594599,21.7727444906521
"IFE",4.04529021866561,7.3438962994968,2.18196622337285
"semi1",0.215535671097209,7.45612422872845,57.5774947863922
"semi3",0.908286666431014,4.76986993783462,25.2455861411638
"Mygsynth",4.26035132875805,7.34998676005454,2.06047412982105
"gsynth_lsls",7.66312516114936,8.44964218917641,1.21891615004828
"gsynth_lslasso",4.8767759178816,6.1092432963676,1.43853989863931
"gsynth_simplex",3.10653230354927,5.41930613136959,2.04428094068913
"gsynth_mio",5.84950181179589,7.46970509373023,1.8261212897246
"Hsiaols",37.5382534049211,47.7717950535258,1.60359833404989
"Hsiaosimplex",7.49888416009713,10.8129875966174,1.65627976685415
"MC",1.4695866952956,4.52712830194004,3.52688855383296
