"","mse_pre","mse_aft","mse_ratio"
"Mean",7.56878110513619,7.96721068347565,1.13905519761297
"SCM",7.82592029366863,7.87255982966832,1.07886665838808
"BSS-simplex",3.77774215429176,4.61494380997243,1.35378742716402
"MIO_SCM",3.6665148908538,4.46724274577448,1.35819217152317
"PDA",1.3503306489015,2.97231551582544,2.51547512918781
"LASSO",1.00667984933385,2.29966280502963,2.71442552836389
"NET",0.988913223484912,2.29516791197176,2.71990777812919
"SCM0",8.56235929020021,8.72936540117148,1.09304771981641
"IFE0",3.47404139813427,5.39330812701928,1.73532722371414
"MIO0",2.16231066405036,3.36801431193391,2.04940117787392
"IFE",3.47754251130162,5.42549148665953,1.74349970730999
"semi1",0.970488882556901,2.59372088695826,2.99068712463137
"semi3",1.11530625722676,2.61646255089155,2.81186944238824
"Mygsynth",3.86683113787934,5.67012536476579,1.67243673899027
"gsynth_lsls",7.44467893121882,7.97328348362104,1.15599825627398
"gsynth_lslasso",6.44145550164883,7.04589426135648,1.17373456790087
"gsynth_simplex",3.56175110458019,4.76592057417785,1.49540015852464
"gsynth_mio",6.6193253013172,7.26233261186802,1.20482809960646
"Hsiaols",2.56648219676208,7.69300788593879,7.57059756658929
"Hsiaosimplex",6.29337588542961,7.63426882013502,1.34499410281176
"MC",1.82981263647319,4.28385406234116,2.56610814976977
