"","mse_pre","mse_aft","mse_ratio"
"Mean",7.77814792724751,8.02855402951321,1.08457354170723
"SCM",8.00907047110285,8.30208017318864,1.08650190033306
"BSS-simplex",3.93127677320484,4.6544962319475,1.24681176546269
"MIO_SCM",3.84787206367693,4.52125628490913,1.24309462048467
"PDA",1.44720315633903,2.61470208015694,1.91335492039541
"LASSO",1.03020608850131,1.95732256350691,2.00874623260457
"NET",1.03961755418247,1.95843561633175,2.00459091237174
"SCM0",9.00659268060344,9.38244538805393,1.09229922934537
"IFE0",3.758151778254,5.11721555977346,1.46801260720431
"MIO0",1.82274806388043,2.791988040794,1.79406912448758
"IFE",3.77157190582777,5.13665054830786,1.46610311406196
"semi1",1.08998737158157,2.15665259607753,2.07804717520143
"semi3",1.15387001348395,2.20732883716062,2.03504939518772
"Mygsynth",4.09618198393763,5.4592740376506,1.43686161570787
"gsynth_lsls",7.6252167889843,8.16682601474332,1.12051585858641
"gsynth_lslasso",6.64607371300804,7.21746240431293,1.13236988382376
"gsynth_simplex",3.75914829159047,4.75902868093082,1.34439692475015
"gsynth_mio",6.67237308056226,7.28964444389401,1.15288764069108
"Hsiaols",2.26529939666803,6.6792551630061,7.37324350853901
"Hsiaosimplex",5.8959691689097,6.70268047614996,1.21030046763669
"MC",1.79160747646168,4.18317266846314,2.47942470699398
