"","mse_pre","mse_aft","mse_ratio"
"Mean",7.52782361986054,8.36183752675671,1.25612343619555
"SCM",7.75747779807919,8.24850336675637,1.18720196133957
"BSS-simplex",3.6758967234624,5.07427595093854,1.61342547198184
"MIO_SCM",3.52357323623503,4.81053656532476,1.60921438202651
"PDA",1.129003326179,4.01997489775883,4.93832685051513
"LASSO",0.960266792305995,3.16972166714861,5.688691527164
"NET",0.943403852848448,3.20427831652833,5.71934551731662
"SCM0",8.74086973087811,9.37818857776658,1.21371241302608
"IFE0",3.44044466250426,6.36713577563688,2.32441785354095
"MIO0",2.32172931719785,4.42997530649997,3.54116523779969
"IFE",3.4475173639812,6.45122326921381,2.33795720887034
"semi1",0.731190157536064,3.97228270173235,7.05994122118194
"semi3",1.20284911347049,3.79218497634506,5.52761993062819
"Mygsynth",3.8513993709114,6.58126055807721,2.1422054216675
"gsynth_lsls",7.33013060630012,8.4151740575317,1.28288640306781
"gsynth_lslasso",6.10772588962165,7.29870601805878,1.32457791104542
"gsynth_simplex",3.34569393710488,5.37595443168072,1.89048820645997
"gsynth_mio",6.18271216166835,7.52956019503415,1.48326904655414
"Hsiaols",2.84439765020572,10.7651470793236,8.95530095526176
"Hsiaosimplex",7.52593719986091,10.2381303098942,1.56990457971134
"MC",1.92931708166938,4.8443337976904,2.82856317402686
