"","mse_pre","mse_aft","mse_ratio"
"Mean",192.871255902883,1097.43506429706,5.86618560649428
"SCM",66.8380846811754,303.63866840284,4.16309205759329
"BSS-simplex",37.0129809847594,194.519918187627,4.79890893036723
"MIO_SCM",34.4174604246176,149.056263314998,4.48987849880168
"PDA",11.5257409870413,130.118689883768,14.3721738369709
"LASSO",12.7607555084468,94.547157791313,10.4688799152191
"NET",12.447467639657,85.2274549307367,9.88170208182759
"SCM0",56.9831577744239,430.905640287428,7.01211534049711
"IFE0",20.6202678273937,107.699263167708,7.05690080354828
"MIO0",24.1764852209169,103.263983180145,7.76279149137374
"IFE",4.59226669258984,7.3132037688318,1.71421959911883
"semi1",0.569165525090623,2.54625758462112,4.72838150357298
"semi3",0.883993157675666,2.48286373335232,3.39994330113224
"Mygsynth",5.31852485383058,8.69212971254412,1.52929604695047
"gsynth_lsls",11.1906644780295,21.757871840001,2.35693927543493
"gsynth_lslasso",8.69492767380514,17.8793543089723,2.42883172313871
"gsynth_simplex",4.38530613592444,8.59193222300257,1.85392570756738
"gsynth_mio",9.45768741089352,16.5727144735332,2.52066841072392
"Hsiaols",1312.98297656218,5064.50220676921,4.2254163152156
"hsiaosimplex",938.771531647215,3440.9693032911,3.66381773168602
"MC",598.592670657472,2355.8082662377,4.42417600231528
