"","mse_pre","mse_aft","mse_ratio"
"Mean",20.6653832185058,29.8119178871992,1.64763860379371
"SCM",27.0392429861338,41.4623202652295,1.76037461951535
"BSS-simplex",17.1651145368626,39.6672437713641,2.83478679720808
"MIO_SCM",16.0617570137788,36.3951538682082,2.81354598649198
"PDA",8.15523705788225,46.4762668140185,8.71510564307162
"LASSO",9.93961208904479,36.4577660321162,6.76919227159283
"NET",9.83679362150965,34.7149117839659,6.31947869099962
"SCM0",25.7910034499779,40.109680071911,1.7735568062567
"IFE0",13.2826678136174,39.2172796569183,4.0262001502296
"MIO0",12.5213599868206,40.4211378804092,5.12626803409856
"IFE",3.41323483000729,6.41722922415815,2.35495510915951
"semi1",0.750702662671126,3.9132595469131,6.99158114193191
"semi3",1.20988481789582,3.86125394368981,5.6564005255276
"Mygsynth",3.74667540114929,6.8096645624129,2.22029286001715
"gsynth_lsls",7.18349418263929,8.64732310352128,1.33835790777566
"gsynth_lslasso",6.06930927446593,7.57197401735029,1.37967093299259
"gsynth_simplex",3.34698975378606,5.48563721483861,1.90539393530144
"gsynth_mio",5.97884154649392,7.60123876361417,1.54751906771209
"Hsiaols",63.3994249650319,71.7470699374967,1.47288345606677
"hsiaosimplex",52.3796695895945,58.8071121116743,1.38790003295353
"MC",69.5039441481514,104.245387746496,1.87371784032039
