"","mse_pre","mse_aft","mse_ratio"
"Mean",99.4839981231157,138.462251258117,1.60750717769038
"SCM",38.011442503113,57.1206603903927,1.75218751295651
"BSS-simplex",24.6876635217112,50.7911900199232,2.67864266101414
"MIO_SCM",23.5726394972926,47.3762146676444,2.63454513722646
"PDA",12.7014934623186,65.3593613468478,7.94239305820743
"LASSO",13.3100206831409,52.2746114461905,6.41908397961501
"NET",13.6681267882685,50.4731722711682,6.29402565529752
"SCM0",37.841625213081,56.599926313781,1.74846402754785
"IFE0",19.6419782902005,50.1729045075791,3.38789099483283
"MIO0",19.174315605276,61.7636954171148,5.34666991378805
"IFE",3.43514796741903,6.29446340347662,2.26719814432934
"semi1",0.700707389134586,3.6188907504972,6.73722329820659
"semi3",1.09099015665065,3.60397908081632,5.40167446270891
"Mygsynth",3.70923500540488,6.25682171817694,2.09139834381731
"gsynth_lsls",7.19638510420596,8.12186318730397,1.24437533775642
"gsynth_lslasso",6.01332241330861,7.06389354252311,1.28338683333444
"gsynth_simplex",3.30714071399518,5.28626043522309,1.84032900898844
"gsynth_mio",5.93827410510346,7.17309856958703,1.42740969138658
"Hsiaols",150.881232631655,185.331717002673,1.48299556107214
"hsiaosimplex",140.652914436484,170.409053008521,1.46751575576656
"MC",168.756737738933,206.893541907389,1.47600893563683
