"","mse_pre","mse_aft","mse_ratio"
"Mean",104.118361403943,135.524801811239,1.45200193091441
"SCM",39.5995359262058,53.9562792639558,1.46472278505781
"BSS-simplex",26.4386793980168,45.9494148672576,2.01909738790149
"MIO_SCM",25.2039709771851,43.324963070651,1.9934081702651
"PDA",16.5339152984481,49.7574296938649,3.44554229778168
"LASSO",15.7684293098554,43.471908579752,3.21972984006927
"NET",15.9758869868821,41.6680269123329,3.0836607034186
"SCM0",38.1033498390305,50.9834373559404,1.49565089928974
"IFE0",21.0298537300902,43.4427535104601,2.38114466672711
"MIO0",21.2194395386344,51.3386650470756,2.88770540704298
"IFE",3.57620272998594,5.27053500842858,1.63330424536619
"semi1",0.977666670597436,2.46204008199255,2.77674550950192
"semi3",1.12564544377533,2.48039343591292,2.60810378731049
"Mygsynth",3.99622256202684,5.66837274808833,1.576023309769
"gsynth_lsls",7.69973841280638,8.14469653645394,1.14177248200359
"gsynth_lslasso",6.63765003322947,7.15243152690267,1.1587191824776
"gsynth_simplex",3.64855384615098,4.76375309468455,1.42797758321677
"gsynth_mio",7.06756052249457,7.59458402866596,1.17646158441602
"Hsiaols",159.354240133575,195.298898867682,1.35552625867333
"hsiaosimplex",152.111686339391,183.461138493372,1.34641071610002
"MC",174.980765832014,221.773359854554,1.39916967528911
