"","mse_pre","mse_aft","mse_ratio"
"Mean",109.537375523792,136.219709213178,1.33440028246016
"SCM",41.2695374812717,51.7650843524257,1.36633457080467
"BSS-simplex",27.8176131039524,45.438652254783,1.81179549123597
"MIO_SCM",26.6059220491525,42.4302809420022,1.78610821414844
"PDA",19.277658395551,45.4339734610919,2.61168560601045
"LASSO",18.2194448083382,41.425707222327,2.53766384716435
"NET",18.330209136607,40.5740822691736,2.46230749579135
"SCM0",38.7684764013456,49.8202024777667,1.3803083923652
"IFE0",23.1296780054865,43.0172826553833,2.05926255804593
"MIO0",23.4789979594781,48.0115403391209,2.2263687164045
"IFE",3.75841020820421,5.04987467856281,1.43191883734933
"semi1",1.0674288656513,2.09885345470097,2.14286039927494
"semi3",1.12703753178411,2.14286075517776,2.08911304716501
"Mygsynth",4.11059816332463,5.3571533040203,1.39158666835161
"gsynth_lsls",7.51012985071612,7.82913981984951,1.08346034034445
"gsynth_lslasso",6.52480893535737,6.89376015306806,1.09506196175302
"gsynth_simplex",3.70512811724895,4.52547913607122,1.29674180327366
"gsynth_mio",6.53355015352701,6.9168812997821,1.11518602735436
"Hsiaols",152.420322267694,186.031462375575,1.29698344394574
"hsiaosimplex",149.831858271475,177.412208621737,1.27023547772464
"MC",168.136527732798,210.906905943002,1.33323328056892
