"","mse_pre","mse_aft","mse_ratio"
"Mean",616.28139483082,878.627380002145,3.95182331972394
"SCM",70.8489698399223,105.769411687207,1.78235447411641
"BSS-simplex",38.9125229312023,104.688093110031,2.81073798370995
"MIO_SCM",37.1523104611296,95.4857302792979,2.73279090006942
"PDA",16.4941129206549,72.8603323699224,4.72187286908131
"LASSO",15.2668721393535,64.1838300081223,4.67671602004587
"NET",15.7056189642935,64.1655186363079,4.42545383756281
"SCM0",68.0857457904232,651.618538882987,5.49906725457561
"IFE0",21.2333785703757,61.7622463732895,3.09326932988496
"MIO0",26.8371612727245,92.5337381672113,3.96599164184948
"IFE",3.23771281914928,6.80394354425767,2.0152039209994
"semi1",1.04761216637445,3.24380489206591,3.11874147787287
"semi3",1.13554760959066,3.14520882773423,2.85087494220056
"Mygsynth",4.60736042592346,8.81834220223583,2.51738477007358
"gsynth_lsls",7.85048478195281,18.9224618475423,2.70635463546277
"gsynth_lslasso",6.85601095302706,17.2939234447829,2.81425627522729
"gsynth_simplex",3.59760725487813,7.66786328830419,2.16548959146242
"gsynth_mio",7.85048492536644,18.9224620776398,2.70635463109767
"Hsiaols",2600.79685899537,4890.2628698609,2.39869527708409
"hsiaosimplex",2631.36075845109,4837.14126043229,2.40783141395224
"MC",2675.15659803863,3741.58389461025,2.70583941927043
