"","mse_pre","mse_aft","mse_ratio"
"Mean",293.713482700348,596.731081974397,2.93264138424133
"SCM",93.1737601311713,106.754007243324,2.06169500058097
"BSS-simplex",64.7149135457368,64.9890468409415,1.95704211409303
"MIO_SCM",63.0322878315603,61.3170882942147,1.97138573585315
"PDA",17.3327352798828,91.657903289078,4.93581643909963
"LASSO",17.0093656510882,60.1864514521997,3.32472433285596
"NET",16.1480292159073,59.1418838825959,3.47604396181987
"SCM0",93.1968993220648,150.027083909484,2.24221723317471
"IFE0",21.7001349948516,89.4758802594422,4.24103089442358
"MIO0",22.093000727515,73.2530940557832,3.8264439592628
"IFE",3.71667993065475,7.05803365114764,2.00752844995581
"semi1",1.17228651252564,4.88890492318681,4.11509889550089
"semi3",1.3272089702907,4.75400416401353,3.50292508101434
"Mygsynth",4.65812308376543,9.15329738767142,2.02297876319665
"gsynth_lsls",10.0600667371465,12.0127961752026,1.53433890944346
"gsynth_lslasso",8.63866841400185,10.7071920432214,1.57326189134144
"gsynth_simplex",4.37523065688906,7.80544547643647,2.05673464738869
"gsynth_mio",10.0600667643141,12.012796100179,1.53433890359096
"Hsiaols",700.752897429767,1082.45507931073,2.72283313183237
"hsiaosimplex",690.72298645493,1094.1077013553,3.0059905488598
"MC",640.887084584409,845.66191593167,1.9087946045305
