"","mse_pre","mse_aft","mse_ratio"
"Mean",481.390734359978,3558.03082022352,6.02093923996354
"SCM",360.565510551632,426.605058325671,2.11716301835997
"BSS-simplex",220.799291287581,232.442618168248,2.48229637874982
"MIO_SCM",216.720853465415,230.342804881727,2.58820044338895
"PDA",37.2654127085212,256.0033329065,7.65404844376368
"LASSO",37.0287923977897,266.793517124645,5.63909272259846
"NET",37.3847412107672,300.290610100846,5.16641644671124
"SCM0",247.586098028279,314.024972322573,2.11411323568579
"IFE0",38.6504383803777,215.781748516962,5.79106666812429
"MIO0",45.9483406620136,222.780635209845,4.37835380022459
"IFE",5.05004470002596,6.80422469740209,1.5346227949103
"semi1",1.55543880846676,4.41696928606399,3.43976864810329
"semi3",1.72593421365218,4.12217250290767,3.3209466273979
"Mygsynth",7.60610738455692,15.4830086589051,1.81902150716181
"gsynth_lsls",19.8327044865968,43.469407048117,2.13045662507632
"gsynth_lslasso",16.3106493397368,37.8219925716572,2.19766897493906
"gsynth_simplex",8.4893693533893,27.5351358787039,2.630513201865
"gsynth_mio",14.4820192867653,35.8185083487338,2.37211892388949
"Hsiaols",1035.24789297181,4936.36107289438,3.81456847259625
"hsiaosimplex",1004.39088168838,4580.34352214916,3.66583228013848
"MC",1214.67893239585,3696.76343571233,2.7341041516614
